 0.0961815 -0.0961815 0.00925088 0 -0.0961815 -0.0961815 0.0961815 5 5 -0.0961815
 0.00404432 -0.00404432 0.00850562 0.0921372 0.0880929 -0.0961815 0.0961815 6 6 0.0880929
 0.246553 -0.246553 0.184068 0.351113 0.0880929 -0.731569 0.731569 7 7 -0.731569
 0.274765 -0.274765 0.170343 0.307974 0.0880929 -0.731569 0.731569 8 8 -0.3594
 0.370335 -0.370335 0.249562 0.335281 0.0880929 -0.752619 0.752619 9 9 -0.752619
 0.0327931 -0.0327931 0.664427 0.814464 1.65492 -0.752619 1.65492 10 10 1.65492
 0.0813016 -0.0813016 0.589316 0.763352 1.65492 -0.752619 1.65492 11 11 -0.372353
 0.0117245 -0.0117245 0.543892 0.737397 1.65492 -0.752619 1.65492 12 12 0.475316
 0.147269 -0.147269 0.652003 0.793924 1.65492 -1.23162 1.65492 13 13 -1.23162
 0.0567479 -0.0567479 0.64425 0.800643 1.65492 -1.23162 1.65492 14 14 0.757938
 0.0189431 -0.0189431 0.597405 0.772688 1.65492 -1.23162 1.65492 15 15 0.359105
 0.032928 -0.032928 0.550528 0.741245 1.65492 -1.23162 1.65492 16 16 -0.186761
 0.129788 -0.129788 0.636607 0.78725 1.65492 -1.29211 1.65492 17 17 -1.29211
 0.132759 -0.132759 0.593233 0.758688 1.65492 -1.29211 1.65492 18 18 -0.171375
 0.123985 -0.123985 0.553684 0.733697 1.65492 -1.29211 1.65492 19 19 -0.00115126
 0.0827029 -0.0827029 0.53707 0.728169 1.65492 -1.29211 1.65492 20 20 0.536529
 0.0438222 -0.0438222 0.525148 0.723345 1.65492 -1.29211 1.65492 21 21 0.578268
 0.0766748 -0.0766748 0.518387 0.715896 1.65492 -1.29211 1.65492 22 22 -0.63517
 0.0526681 -0.0526681 0.498681 0.704207 1.65492 -1.29211 1.65492 23 23 0.379454
 0.0961674 -0.0961674 0.516312 0.712084 1.65492 -1.29211 1.65492 24 24 -0.922654
 0.0663252 -0.0663252 0.505128 0.707622 1.65492 -1.29211 1.65492 25 25 0.530518
 0.0361465 -0.0361465 0.498401 0.705049 1.65492 -1.29211 1.65492 26 26 0.597607
 0.0548346 -0.0548346 0.486172 0.695101 1.65492 -1.29211 1.65492 27 27 -0.465973
 0.000178491 -0.000178491 0.531741 0.729205 1.65492 -1.29211 1.65492 28 28 1.25691
 0.0177029 -0.0177029 0.518155 0.719612 1.65492 -1.29211 1.65492 29 29 -0.438289
 0.00674878 -0.00674878 0.50097 0.70776 1.65492 -1.29211 1.65492 30 30 0.267105
 0.0602086 -0.0602086 0.560304 0.746109 1.65492 -1.45017 1.65492 31 31 -1.45017
 0.0501926 -0.0501926 0.542025 0.734511 1.65492 -1.45017 1.65492 32 32 0.220241
 0.0341146 -0.0341146 0.529304 0.726733 1.65492 -1.45017 1.65492 33 33 0.416068
 0.0063826 -0.0063826 0.532879 0.729958 1.65492 -1.45017 1.65492 34 34 0.797847
 0.0635773 -0.0635773 0.617829 0.783446 1.65492 -1.77942 1.77942 35 35 -1.77942
 0.0160978 -0.0160978 0.664749 0.815162 1.65492 -1.77942 1.77942 36 36 1.45576
 0.0350312 -0.0350312 0.657052 0.80983 1.65492 -1.77942 1.77942 37 37 -0.640898
 0.0384977 -0.0384977 0.638414 0.79808 1.65492 -1.77942 1.77942 38 38 -0.152892
 0.0448625 -0.0448625 0.622124 0.787471 1.65492 -1.77942 1.77942 39 39 -0.261269
 0.0526839 -0.0526839 0.607803 0.777835 1.65492 -1.77942 1.77942 40 40 -0.32643
 0.0511546 -0.0511546 0.591376 0.767306 1.65492 -1.77942 1.77942 41 41 0.00389977
 0.0497191 -0.0497191 0.575814 0.757193 1.65492 -1.77942 1.77942 42 42 0.00339237
 0.0438811 -0.0438811 0.561861 0.748289 1.65492 -1.77942 1.77942 43 43 0.177964
 0.00728841 -0.00728841 0.598212 0.773408 1.65492 -1.77942 1.77942 44 44 1.41983
 0.0491035 -0.0491035 0.655921 0.8084 1.65492 -1.77942 1.77942 45 45 -1.72171
 0.00447028 -0.00447028 0.719648 0.848309 1.82549 -1.77942 1.82549 46 46 1.82549
 0.0103425 -0.0103425 0.704447 0.83925 1.82549 -1.77942 1.82549 47 47 -0.256976
 0.00760544 -0.00760544 0.688713 0.829852 1.82549 -1.77942 1.82549 48 48 0.110088
 0.016222 -0.016222 0.676881 0.822568 1.82549 -1.77942 1.82549 49 49 -0.395352
 0.0272397 -0.0272397 0.668114 0.816928 1.82549 -1.77942 1.82549 50 50 -0.523037
 0.0351507 -0.0351507 0.657287 0.80997 1.82549 -1.77942 1.82549 51 51 -0.399056
 0.00311606 -0.00311606 0.690625 0.831033 1.82549 -1.77942 1.82549 52 52 1.50251
 0.0303225 -0.0303225 0.71297 0.843831 1.82549 -1.77942 1.82549 53 53 -1.33623
 0.0167751 -0.0167751 0.707084 0.840716 1.82549 -1.77942 1.82549 54 54 0.647049
 0.0352031 -0.0352031 0.711163 0.84257 1.82549 -1.77942 1.82549 55 55 -0.956607
 0.0145167 -0.0145167 0.718306 0.847405 1.82549 -1.77942 1.82549 56 56 1.04049
 0.0229146 -0.0229146 0.708739 0.841554 1.82549 -1.77942 1.82549 57 57 -0.459601
 0.0164338 -0.0164338 0.697595 0.83506 1.82549 -1.77942 1.82549 58 58 0.327048
 0.0320315 -0.0320315 0.69881 0.835334 1.82549 -1.77942 1.82549 59 59 -0.874311
 0.0362551 -0.0362551 0.687619 0.828435 1.82549 -1.77942 1.82549 60 60 -0.268554
