nominal;data;curs;rub;
100;15.08.19;93.4813;0.934813;1120
100;16.08.19;94.4805;0.944805;1119
100;17.08.19;94.6316;0.946316;1118
100;20.08.19;95.3101;0.953101;1117
100;21.08.19;95.5622;0.955622;1116
100;22.08.19;94.8267;0.948267;1115
100;23.08.19;93.8053;0.938053;1114
100;24.08.19;93.7677;0.937677;1113
100;27.08.19;94.3206;0.943206;1112
100;28.08.19;94.7327;0.947327;1111
100;29.08.19;95.2153;0.952153;1110
100;30.08.19;95.7634;0.957634;1109
100;31.08.19;95.4626;0.954626;1108
100;03.09.19;95.6547;0.956547;1107
100;04.09.19;96.0620;0.96062;1106
100;05.09.19;95.0084;0.950084;1105
100;06.09.19;94.3611;0.943611;1104
100;07.09.19;94.2834;0.942834;1103
100;10.09.19;93.6718;0.936718;1102
100;11.09.19;93.4847;0.934847;1101
100;12.09.19;93.4744;0.934744;1100
100;13.09.19;93.1299;0.931299;1099
100;14.09.19;92.1016;0.921016;1098
100;17.09.19;91.1817;0.911817;1097
100;18.09.19;91.8972;0.918972;1096
100;19.09.19;92.0954;0.920954;1095
100;20.09.19;91.7967;0.917967;1094
100;21.09.19;91.2665;0.912665;1093
100;24.09.19;91.3743;0.913743;1092
100;25.09.19;91.0417;0.910417;1091
100;26.09.19;91.7300;0.9173;1090
100;27.09.19;91.9894;0.919894;1089
100;28.09.19;92.1223;0.921223;1088
100;01.10.19;92.4469;0.924469;1087
100;02.10.19;93.1985;0.931985;1086
100;03.10.19;93.7329;0.937329;1085
100;04.10.19;93.2910;0.93291;1084
100;05.10.19;93.1460;0.93146;1083
100;08.10.19;92.8538;0.928538;1082
100;09.10.19;92.7337;0.927337;1081
100;10.10.19;93.0165;0.930165;1080
100;11.10.19;92.4959;0.924959;1079
100;12.10.19;91.7481;0.917481;1078
100;15.10.19;92.0021;0.920021;1077
100;16.10.19;91.8478;0.918478;1076
100;17.10.19;91.9359;0.919359;1075
100;18.10.19;91.4635;0.914635;1074
100;19.10.19;91.3775;0.913775;1073
100;22.10.19;91.1478;0.911478;1072
100;23.10.19;90.9844;0.909844;1071
100;24.10.19;91.2219;0.912219;1070
100;25.10.19;91.2638;0.912638;1069
100;26.10.19;91.4727;0.914727;1068
100;29.10.19;91.2689;0.912689;1067
100;30.10.19;91.2157;0.912157;1066
100;31.10.19;91.2917;0.912917;1065
100;01.11.19;91.1655;0.911655;1064
100;02.11.19;91.5326;0.915326;1063
100;06.11.19;90.4008;0.904008;1062
100;07.11.19;90.8757;0.908757;1061
100;08.11.19;91.0800;0.9108;1060
100;09.11.19;91.0796;0.910796;1059
100;12.11.19;91.3406;0.913406;1058
100;13.11.19;91.2282;0.912282;1057
100;14.11.19;91.7253;0.917253;1056
100;15.11.19;91.9257;0.919257;1055
100;16.11.19;91.2687;0.912687;1054
100;19.11.19;91.0774;0.910774;1053
100;20.11.19;91.1043;0.911043;1052
100;21.11.19;91.4590;0.91459;1051
100;22.11.19;91.2043;0.912043;1050
100;23.11.19;91.0144;0.910144;1049
100;26.11.19;91.0910;0.91091;1048
100;27.11.19;91.4758;0.914758;1047
100;28.11.19;91.3889;0.913889;1046
100;29.11.19;91.5721;0.915721;1045
100;30.11.19;91.5453;0.915453;1044
100;03.12.19;92.0402;0.920402;1043
100;04.12.19;91.6287;0.916287;1042
100;05.12.19;91.7069;0.917069;1041
100;06.12.19;91.1621;0.911621;1040
100;07.12.19;91.0264;0.910264;1039
100;10.12.19;91.0362;0.910362;1038
100;11.12.19;90.8269;0.908269;1037
100;12.12.19;90.8091;0.908091;1036
100;13.12.19;90.3224;0.903224;1035
100;14.12.19;89.3634;0.893634;1034
100;17.12.19;89.6717;0.896717;1033
100;18.12.19;89.3470;0.89347;1032
100;19.12.19;89.4185;0.894185;1031
100;20.12.19;89.3389;0.893389;1030
100;21.12.19;89.1657;0.891657;1029
100;24.12.19;88.9383;0.889383;1028
100;25.12.19;88.8739;0.888739;1027
100;26.12.19;88.2293;0.882293;1026
100;27.12.19;88.3025;0.883025;1025
100;28.12.19;88.7471;0.887471;1024
100;31.12.19;88.6304;0.886304;1023
100;01.01.20;88.6979;0.886979;1022
100;10.01.20;87.9036;0.879036;1021
100;11.01.20;87.9458;0.879458;1020
100;14.01.20;87.4924;0.874924;1019
100;15.01.20;87.9451;0.879451;1018
100;16.01.20;87.8622;0.878622;1017
100;17.01.20;88.2118;0.882118;1016
100;18.01.20;88.0916;0.880916;1015
100;21.01.20;87.9872;0.879872;1014
100;22.01.20;88.5199;0.885199;1013
100;23.01.20;88.5026;0.885026;1012
100;24.01.20;88.6831;0.886831;1011
100;25.01.20;88.4453;0.884453;1010
100;28.01.20;89.2172;0.892172;1009
100;29.01.20;89.9276;0.899276;1008
100;30.01.20;89.2901;0.892901;1007
100;31.01.20;90.2095;0.902095;1006
100;01.02.20;90.3564;0.903564;1005
100;04.02.20;91.4723;0.914723;1004
100;05.02.20;90.7795;0.907795;1003
100;06.02.20;90.4075;0.904075;1002
100;07.02.20;89.8815;0.898815;1001
100;08.02.20;90.8336;0.908336;1000
100;11.02.20;91.2612;0.912612;999
100;12.02.20;91.5163;0.915163;998
100;13.02.20;90.2254;0.902254;997
100;14.02.20;91.0191;0.910191;996
100;15.02.20;90.8073;0.908073;995
100;18.02.20;90.5997;0.905997;994
100;19.02.20;91.2598;0.912598;993
100;20.02.20;91.1541;0.911541;992
100;21.02.20;91.2206;0.912206;991
100;22.02.20;92.0197;0.920197;990
100;26.02.20;92.9077;0.929077;989
100;27.02.20;93.7746;0.937746;988
100;28.02.20;93.8929;0.938929;987
100;29.02.20;95.8695;0.958695;986
100;03.03.20;94.9199;0.949199;985
100;04.03.20;95.0864;0.950864;984
100;05.03.20;94.5636;0.945636;983
100;06.03.20;94.7167;0.947167;982
100;07.03.20;96.6369;0.966369;981
10;11.03.20;10.3068;1.03068;980
10;12.03.20;10.2282;1.02282;979
10;13.03.20;10.1652;1.01652;978
10;14.03.20;10.0418;1.00418;977
10;17.03.20;10.1669;1.01669;976
10;18.03.20;10.1345;1.01345;975
10;19.03.20;10.5903;1.05903;974
10;20.03.20;10.9944;1.09944;973
10;21.03.20;10.7168;1.07168;972
10;24.03.20;11.0950;1.1095;971
10;25.03.20;10.8172;1.08172;970
10;26.03.20;10.6738;1.06738;969
100;27.03.20;98.6901;0.986901;968
100;28.03.20;97.2264;0.972264;967
100;07.04.20;89.9985;0.899985;966
100;08.04.20;88.8770;0.88877;965
100;09.04.20;89.2242;0.892242;964
100;10.04.20;87.8756;0.878756;963
100;11.04.20;94.7875;0.947875;962
100;14.04.20;94.4715;0.944715;961
100;15.04.20;93.6555;0.936555;960
100;16.04.20;93.4125;0.934125;959
100;17.04.20;93.7245;0.937245;958
100;18.04.20;92.3906;0.923906;957
100;21.04.20;92.8993;0.928993;956
100;22.04.20;95.8466;0.958466;955
100;23.04.20;96.6034;0.966034;954
100;24.04.20;93.4099;0.934099;953
100;25.04.20;92.8614;0.928614;952
100;28.04.20;92.6501;0.926501;951
100;29.04.20;92.7433;0.927433;950
100;30.04.20;92.8494;0.928494;949
100;01.05.20;90.9415;0.909415;948
100;07.05.20;93.7366;0.937366;947
100;08.05.20;93.9516;0.939516;946
100;09.05.20;93.5934;0.935934;945
100;13.05.20;94.1115;0.941115;944
100;14.05.20;94.9025;0.949025;943
100;15.05.20;96.0536;0.960536;942
100;16.05.20;95.0722;0.950722;941
100;19.05.20;95.2587;0.952587;940
100;20.05.20;94.4408;0.944408;939
100;21.05.20;94.9758;0.949758;938
100;22.05.20;93.6640;0.93664;937
100;23.05.20;95.7688;0.957688;936
100;26.05.20;95.4298;0.954298;935
100;27.05.20;94.8228;0.948228;934
100;28.05.20;95.9032;0.959032;933
100;29.05.20;96.7137;0.967137;932
100;30.05.20;95.9470;0.95947;931
100;02.06.20;94.4663;0.944663;930
100;03.06.20;93.8294;0.938294;929
